Français;Allemand;Leçon;Catégorie;Régularité
sauf (excepté / à part);außer (+ dat.);76;Preposition;
tâche;die Aufgabe;76;Noun;
abréviation;die Abkürzung;78;Noun;
actuel;jetzig;78;Adjective/Adverb;
après que;nachdem;78;Conjunction;
aujourd'hui (d'~);heutig;78;Adjective/Adverb;
capitale;die Hauptstadt;78;Noun;
construire;bauen;78;Verb;regular
coucher (se ~);untergehen;78;Verb;irregular
date;das Datum;78;Noun;
divertissement;der Spaß;78;Noun;
diviser;teilen;78;Verb;regular
division;die Teilung;78;Noun;
État;der Staat;78;Noun;
guerre;der Krieg;78;Noun;
histoire;die Geschichte;78;Noun;
Lune;der Mond;78;Noun;
officiel;offiziell;78;Adjective/Adverb;
République démocratique allemande (RDA);die Deutsche Demokratische Republik;78;Noun;
République fédérale d'Allemagne (RFA);die Bundesrepublik Deutschland (ab. BRD);78;Noun;
réunification;die Wiedervereinigung;78;Noun;
savoir (n.);das Wissen;78;Noun;
siècle;das Jahrhundert;78;Noun;
unité;die Einheit;78;Noun;
ville;die Stadt;78;Noun;
bus;der Bus;79;Noun;
communication;die Kommunikation;79;Noun;
communication (moyen de ~);das Kommunikationsmittel;79;Noun;
extra-terrestre;der Außerirdische;79;Noun;
frontières (sans ~);grenzenlos;79;Adjective/Adverb;
gars;Jungs;79;Noun;
impression;der Eindruck;79;Noun;
machin ; das Ding ;79;Noun;
métro;die U-Bahn;79;Noun;
métropolitain;die Untergrundbahn;79;Noun;
mobile (adj.);mobil;79;Adjective/Adverb;
observer;beobachten;79;Verb;regular
offrir (permettre);bieten;79;Verb;irregular
partout;überall;79;Adjective/Adverb;
planète;der Planet;79;Noun;
plutôt;eher;79;Adjective/Adverb;
positif (n.);das Positive;79;Noun;
singe;der Affe;79;Noun;
technique;die Technik;79;Noun;
terre;die Erde;79;Noun;
terrestre;irdisch;79;Adjective/Adverb;
tramway;die Straßenbahn;79;Noun;
viande;das Fleisch;79;Noun;
viande (sans);fleischlos;79;Adjective/Adverb;
audacieux;gewagt;80;Adjective/Adverb;
branche;der Zweig;80;Noun;
candidature;die Bewerbung;80;Noun;
carnaval;der Fasching;80;Noun;
carrière;die Karriere;80;Noun;
coin;die Ecke;80;Noun;
commencer;starten;80;Verb;regular
documents;die Unterlagen;80;Noun;
dossier de candidature;die Bewerbungsunterlagen;80;Noun;
étage;der Stock;80;Noun;
filiale;die Zweigstelle;80;Noun;
hésiter;zögern;80;Verb;regular
mentalité;die Mentalität;80;Noun;
poli;höflich;80;Adjective/Adverb;
politesse;die Höflichkeit;80;Noun;
ponctuel;pünktlich;80;Adjective/Adverb;
précisément;gerade;80;Adjective/Adverb;
prétentions salariales;die Gehaltsvorstellungen;80;Noun;
profil;das Profil;80;Noun;
prometteur;vielversprechend;80;Adjective/Adverb;
retard;die Verspätung;80;Noun;
retourner (se ~);sich um/drehen;80;Verb;irregular
roi;der König;80;Noun;
sans (+ inf.);ohne zu (+ inf.);80;Preposition;
sans que;ohne dass;80;Conjunction;
situation;die Situation;80;Noun;
succès;der Erfolg;80;Noun;
succès;der Erfolg;80;Noun;
tâche (travail);die Arbeit;80;Noun;
vendeur;der Verkäufer;80;Noun;
aussi bien… que;sowohl… als auch;81;Conjunction;
céréales;das Getreide;81;Noun;
composer;komponieren;81;Verb;regular
compositeur;der Komponist;81;Noun;
composition;das Komponieren;81;Noun;
concert;das Konzert;81;Noun;
conseil;der Tipp;81;Noun;
cour princière;der Fürstenhof;81;Noun;
cours de musique;der Musikunterricht;81;Noun;
dettes;die Schulden;81;Noun;
deviner;erraten;81;Verb;irregular
enfant prodige;das Wunderkind;81;Noun;
ensemble;gemeinsam;81;Adjective/Adverb;
époque;die Zeit;81;Noun;
flûte;die Flöte;81;Noun;
Flûte enchantée;die Zauberflöte;81;Noun;
gagner (argent);verdienen;81;Verb;regular
gaspilleur;verschwenderisch;81;Adjective/Adverb;
maison natale;das Geburtshaus;81;Noun;
musique;die Musik;81;Noun;
œuvre;das Werk;81;Noun;
opéra;die Oper;81;Noun;
parmi;darunter;81;Adjective/Adverb;
pauvre;arm;81;Adjective/Adverb;
pauvreté;die Armut;81;Noun;
prince;der Fürst;81;Noun;
profiter de;nutzen;81;Verb;regular
ruelle;die Gasse;81;Noun;
Salzbourg;Salzburg;81;Noun;
tout (en tout);insgesamt;81;Adjective/Adverb;
apprenti;der Geselle;82;Noun;
biscuit;das Plätzchen;82;Noun;
botte;der Stiefel;82;Noun;
boulanger;der Bäcker;82;Noun;
boulanger (apprenti);der Bäckergeselle;82;Noun;
boulanger (maître);der Bäckermeister;82;Noun;
boulangerie;die Bäckerei;82;Noun;
chauffer;erhitzen;82;Verb;regular
compte à rebours;der Countdown;82;Noun;
contrôler;überprüfen;82;Verb;regular
disputer (se ~);streiten;82;Verb;irregular
four;der Ofen;82;Noun;
four (de cuisine);der Backofen;82;Noun;
friandises;die Süßigkeiten;82;Noun;
lourd;schwer;82;Adjective/Adverb;
maître (contremaître);der Meister;82;Noun;
ne… (plus) que;nur noch;82;Fixed expression;
note (scolaire);die Note;82;Noun;
pâte;der Teig;82;Noun;
pendant que;während;82;Conjunction;
recommencer;wieder los/gehen;82;Verb;irregular
réjouir (se ~ de qqch. à venir);sich freuen auf;82;Verb;irregular
réjouir (se ~ de qqch. qui a eu lieu);sich freuen über;82;Verb;irregular
saint Nicolas;der Nikolaus;82;Noun;
soulever;heben;82;Verb;irregular
soulever;heben;82;Verb;irregular
tour (être au tour de);dran kommen / dran sein;82;Fixed expression;
à cause de;durch;83;Preposition;
accompagner;begleiten;83;Verb;regular
amende;das Bußgeld;83;Noun;
changement;der Wechsel;83;Noun;
entrer;reinkommen;83;Verb;irregular
espérons que;hoffentlich;83;Adjective/Adverb;
grâce à;durch;83;Preposition;
inclus;inbegriffen;83;Adjective/Adverb;
lequel (p. int.);welch-;83;Interrogative;
mers du Sud;die Südsee;83;Noun;
mieux (il y a ~);es gibt Besseres;83;Fixed expression;
opération;die Operation;83;Noun;
papier peint;die Tapete;83;Noun;
pénitence;die Buße;83;Noun;
pire (il y a ~);es gibt Schlimmeres;83;Fixed expression;
point;der Punkt;83;Noun;
prendre (attraper);erwischen;83;Verb;regular
rouge (passer au ~);über Rot fahren;83;Fixed expression;
sauver;retten;83;Verb;regular
train (être en train de + inf.);beim;83;Fixed expression;
urgence (d');dringend;83;Adjective/Adverb;
visage;das Gesicht;83;Noun;
afin que;damit;85;Conjunction;
battre (au jeu);schlagen;85;Verb;irregular
cape;das Cape;85;Noun;
cape de pluie;das Regencape;85;Noun;
dicton;das Sprichwort;85;Noun;
exercice (physique);die Bewegung;85;Noun;
fleuve;der Fluss;85;Noun;
fort (bruyant);laut;85;Adjective/Adverb;
frapper;schlagen;85;Verb;irregular
giboulées de mars;das Aprilwetter;85;Noun;
irrésistible;unwiderstehlich;85;Adjective/Adverb;
lieu (au ~ de);anstatt;85;Preposition;
lieu (au ~ que);anstatt dass;85;Conjunction;
long (le ~ de);entlang;85;Preposition;
nourriture;das Essen;85;Noun;
nuire;schaden;85;Verb;regular
particulièrement;besonders;85;Adjective/Adverb;
partir (pouvoir);loskommen;85;Verb;irregular
piste cyclable;der Radweg;85;Noun;
pourquoi (dans quel but);wozu;85;Interrogative;
voix (à haute);laut;85;Adjective/Adverb;
bouteille;die Flasche;86;Noun;
chanson;das Lied;86;Noun;
cuillère;der Löffel;86;Noun;
cuillère (petite);der Teelöffel;86;Noun;
cure;die Kur;86;Noun;
dessin;das Bild;86;Noun;
détail;die Kleinigkeit;86;Noun;
hôte (amphitryon);der Gast;86;Noun;
hôte (invité);der Gast;86;Noun;
hypocalorique;kalorienarm;86;Adjective/Adverb;
inattendu;unerwartet;86;Adjective/Adverb;
manomètre;das Manometer;86;Noun;
manquer;fehlen;86;Verb;regular
manquer (à qqn);jdn vermissen;86;Verb;regular
oncle;der Onkel;86;Noun;
passer (tendre);herüberreichen / überreichen;86;Verb;regular
poivre;der Pfeffer;86;Noun;
schnaps;der Schnaps;86;Noun;
sel;das Salz;86;Noun;
sentir (odeur);riechen;86;Verb;irregular
sucre;der Zucker;86;Noun;
sucre;der Zucker;86;Noun;
tableau;das Bild;86;Noun;
action;die Tat;87;Noun;
arrivée;die Ankunft;87;Noun;
atteindre;erreichen;87;Verb;regular
attendre (s' à);rechnen mit;87;Verb;regular
avoir lieu;stattfinden;87;Verb;irregular
battre (se ~);kämpfen;87;Verb;regular
battre (se ~ pour);kämpfen (für);87;Verb;regular
carnaval;die Fasnacht;87;Noun;
carnaval;die Fastnacht;87;Noun;
cas (en ~ de);bei;87;Preposition;
centaine de milliers;das Hunderttausend;87;Noun;
clamer;rufen;87;Verb;irregular
Cologne;Köln;87;Noun;
dangereux;gefährlich;87;Adjective/Adverb;
dédommagement;die Entschädigung;87;Noun;
défilé;der Umzug;87;Noun;
Düsseldorf;Düsseldorf;87;Noun;
élève (fille);die Schülerin;87;Noun;
élève (garçon);der Schüler;87;Noun;
environnement;die Umwelt;87;Noun;
Europe du Nord;Nordeuropa;87;Noun;
exiger;verlangen;87;Verb;regular
fermer;schließen;87;Verb;irregular
groupe (entreprise);der Konzern;87;Noun;
mais (au contraire);sondern;87;Conjunction;
Mayence;Mainz;87;Noun;
mieux... mieux;je besser ... desto / umso besser;87;Fixed expression;
millier;das Tausend;87;Noun;
moins… moins;je weniger … desto / umso weniger;87;Fixed expression;
plus… plus…;je + cp. desto/umso + cp.;87;Fixed expression;
point culminant;der Höhepunkt;87;Noun;
rhénan;rheinisch;87;Adjective/Adverb;
solide;fest;87;Adjective/Adverb;
train grandes lignes;der Fernzug;87;Noun;
voyageur;der Reisende;87;Noun;
adresse;die Adresse;88;Noun;
allécher;anlocken;88;Verb;irregular
arriver à qqun;jdm vorkommen;88;Verb;irregular
attraper;fangen;88;Verb;irregular
bec;der Schnabel;88;Noun;
bois (forêt);der Wald;88;Noun;
chant;der Gesang;88;Noun;
corbeau;der Rabe;88;Noun;
discours;die Rede;88;Noun;
doute;der Zweifel;88;Noun;
écouter qch;hören;88;Verb;regular
écouter qqun;auf jdn hören;88;Verb;regular
leçon (enseignement);die Lehre;88;Noun;
maître;der Meister;88;Noun;
odeur;der Geruch;88;Noun;
peu (à ~ près);etwa;88;Adjective/Adverb;
phénix;der Phönix;88;Noun;
pleurer;weinen;88;Verb;regular
plumage;das Gefieder;88;Noun;
proie;die Beute;88;Noun;
renard;der Fuchs;88;Noun;
retenir qqch. (mémoire);sich etwas merken;88;Verb;irregular
rire;lachen;88;Verb;regular
saisir;schnappen;88;Verb;regular
serment;der Schwur;88;Noun;
sourire;lächeln;88;Verb;regular
sourire;lächeln;88;Verb;regular
valoir qqch.;etw. + acc. wert sein;88;Fixed expression;
bien que;obwohl;89;Conjunction;
boîte de nuit;die Disko;89;Noun;
cinéma;das Kino;89;Noun;
d'accord;einverstanden;89;Adjective/Adverb;
États-Unis;die Vereinigten Staaten;89;Noun;
football;der Fußball;89;Noun;
jouer;spielen;89;Verb;regular
loin;weit;89;Adjective/Adverb;
lunettes;die Brille;89;Noun;
malade (adj.);krank;89;Adjective/Adverb;
parfois;manchmal;89;Adjective/Adverb;
piscine;das Schwimmbad;89;Noun;
pourquoi (c'est ~);deshalb;89;Adjective/Adverb;
quitter;verlassen;89;Verb;irregular
répéter;wiederholen;89;Verb;regular
retour (de ~);zurück;89;Adjective/Adverb;
retrouver;wieder/finden;89;Verb;irregular
revoir;wieder/sehen;89;Verb;irregular
sport;der Sport;89;Noun;
sportif;sportlich;89;Adjective/Adverb;
sport;der Sport;89;Noun;
sportif;sportlich;89;Adjective/Adverb;
tennis;das Tennis;89;Noun;
théâtre;das Theater;89;Noun;
travers (aller de);schief gehen / schief laufen;89;Verb;irregular
adapté (à);geeignet (für);90;Adjective/Adverb;
appareil;das Gerät;90;Noun;
celui qui;wer;90;Interrogative;
cheveux;das Haar;90;Noun;
demi-tour (faire ~);umdrehen;90;Verb;irregular
doux;süß;90;Adjective/Adverb;
effet (faire ~);wirken;90;Verb;regular
énergie;die Energie;90;Noun;
fin (adj.);dünn;90;Adjective/Adverb;
force;die Kraft;90;Noun;
forme (en ~);fit;90;Adjective/Adverb;
garantir;garantieren;90;Verb;regular
gras;fettig;90;Adjective/Adverb;
jus;der Saft;90;Noun;
jus de fruits;der Obstsaft;90;Noun;
lavage;das Waschen;90;Noun;
matelas;die Matratze;90;Noun;
méthode;die Methode;90;Noun;
pourtant;trotzdem;90;Adjective/Adverb;
renoncer à;verzichten auf;90;Verb;regular
satisfait;zufrieden;90;Adjective/Adverb;
satisfait (de);zufrieden (mit);90;Adjective/Adverb;
sucré;süß;90;Adjective/Adverb;
sucré;süß;90;Adjective/Adverb;
tache;der Fleck;90;Noun;
tendre;zart;90;Adjective/Adverb;
tour de main (en un);im Handumdrehen;90;Fixed expression;
transformer (édifice);umbauen;90;Verb;irregular
vitamine;das Vitamin;90;Noun;
allumer (s');angehen;92;Verb;irregular
armoire;der Schrank;92;Noun;
bon marché;billig;92;Adjective/Adverb;
éteindre (s');ausgehen;92;Verb;irregular
foutu;futsch;92;Adjective/Adverb;
journal;die Zeitung;92;Noun;
lave-linge;die Waschmaschine;92;Noun;
laver;waschen;92;Verb;irregular
laver (vaisselle);spülen;92;Verb;regular
lave-vaisselle;die Spülmaschine;92;Noun;
machine ; die Maschine ;92;Noun;
merde;die Scheiße;92;Noun;
mien(s)/mienne(s);meiner / meine / meins;92;Possessive adjective;
n'importe;irgend-;92;Adjective/Adverb;
n'importe quand;irgendwann;92;Adjective/Adverb;
n'importe quel/le;irgendeine/r;92;Adjective/Adverb;
n'importe qui;irgendwer;92;Adjective/Adverb;
quelconque (un/e ~);irgendein/e;92;Adjective/Adverb;
rafraîchir;kühlen;92;Verb;regular
réfrigérateur;der Kühlschrank;92;Noun;
réparation;die Reparatur;92;Noun;
tien(s)/tienne(s);deiner / deine / deins;92;Possessive adjective;
chaussure;der Schuh;93;Noun;
ciel;der Himmel;93;Noun;
couteau;das Messer;93;Noun;
créer;erstellen;93;Verb;regular
étonné (être);staunen;93;Verb;regular
fourchette;die Gabel;93;Noun;
frères et sœurs;die Geschwister;93;Noun;
gros;dick;93;Adjective/Adverb;
interdiction;das Verbot;93;Noun;
légumes;das Gemüse;93;Noun;
lettre (courrier);der Brief;93;Noun;
mettre la table;den Tisch decken;93;Fixed expression;
non seulement… mais aussi;nicht nur… sondern auch;93;Fixed expression;
poser (de côté);weg/legen;93;Verb;irregular
sonner;klingeln;93;Verb;regular
sonner;klingeln;93;Verb;regular
train (être en train de);gerade;93;Adjective/Adverb;
valoir;gelten;93;Verb;irregular
venir de + inf.;gerade (+ v. au parfait);93;Fixed expression;
visite (invités);der Besuch;93;Noun;
visite (rendre);besuchen;93;Verb;regular
arriver (événement);passieren;94;Verb;regular
bête (adj.);dumm;94;Adjective/Adverb;
comme (étant donné que);da;94;Conjunction;
dès que;sobald;94;Conjunction;
disputer (se ~ avec);sich mit jdm streiten;94;Verb;irregular
échouer;durchfallen;94;Verb;irregular
étudier;studieren;94;Verb;regular
examen;die Prüfung;94;Noun;
examen de conduite;die Fahrprüfung;94;Noun;
examinateur;der Prüfer;94;Noun;
fenêtre;das Fenster;94;Noun;
gentil;lieb;94;Adjective/Adverb;
heure de conduite;die Fahrstunde;94;Noun;
inspecteur du permis;der Fahrprüfer;94;Noun;
journal intime;das Tagebuch;94;Noun;
lire (en entier);durchlesen;94;Verb;irregular
méchant;böse;94;Adjective/Adverb;
même(s) (le/la/les ~);derselbe / dieselbe / dasselbe / dieselben;94;Adjective/Adverb;
montrer;zeigen;94;Verb;regular
nerveux;nervös;94;Adjective/Adverb;
pantalon;die Hose;94;Noun;
plus de;über;94;Preposition;
refléter (se ~);sich wider/spiegeln;94;Verb;irregular
slip;der Slip;94;Noun;
toilettes;das Klo / die Toilette;94;Noun;
tomber;fallen;94;Verb;irregular
arrêter;aufhören;95;Verb;irregular
canapé;das Sofa;95;Noun;
chaise;der Stuhl;95;Noun;
correctement;richtig;95;Adjective/Adverb;
docteur (médecin);der Doktor;95;Noun;
docteur (titre);Doktor;95;Noun;
entre-temps;inzwischen;95;Adjective/Adverb;
fauteuil;der Sessel;95;Noun;
grammaire;die Grammatik;95;Noun;
lampe;die Lampe;95;Noun;
lire (à haute voix);vorlesen;95;Verb;irregular
placer;aufstellen;95;Verb;irregular
projecteur;der Projektor;95;Noun;
récompense;die Belohnung;95;Noun;
récréation;die Pause;95;Noun;
sol;der Boden;95;Noun;
toilettes (aller aux);auf die Toilette gehen;95;Fixed expression;
à;bei;96;Preposition;
absolument;überhaupt;96;Adjective/Adverb;
autonome;selbständig;96;Adjective/Adverb;
café (établissement);das Café;96;Noun;
circulation;der Verkehr;96;Noun;
compte (se mettre à son ~);sich selbständig machen;96;Verb;irregular
démission;die Kündigung;96;Noun;
dépendre de;abhängen von;96;Verb;irregular
en train de;beim;96;Preposition;
journée;sich den Tag frei nehmen;96;Verb;irregular
licenciement;die Kündigung;96;Noun;
licencier;kündigen;96;Verb;regular
marcher (fonctionner);klappen;96;Verb;regular
négatif;negativ;96;Adjective/Adverb;
poste (bureau de ~ ou poste);die Post;96;Noun;
prudent;vorsichtig;96;Adjective/Adverb;
soigneusement;sorgfältig;96;Adjective/Adverb;
solution;die Lösung;96;Noun;
triste;traurig;96;Adjective/Adverb;
volonté;der Wille;96;Noun;
vouloir dire (par là);damit meinen;96;Fixed expression;
académie;die Akademie;97;Noun;
Académie des beaux-arts;die Kunstakademie;97;Noun;
amusant;Spaß machen;97;Fixed expression;
amuser;Spaß machen;97;Fixed expression;
art;die Kunst;97;Noun;
colocataire;die Mitbewohnerin;97;Noun;
étudiant;der Student;97;Noun;
gestion;die Verwaltung;97;Noun;
habitante;die Bewohnerin;97;Noun;
page web;die Internetseite;97;Noun;
présenter;vor/stellen;97;Verb;irregular
saluer (bienvenue);begrüßen;97;Verb;regular
saluer (bonjour);grüßen;97;Verb;regular
spectacle;die Vorstellung;97;Noun;
spectacle;die Vorstellung;97;Noun;
surfer;surfen;97;Verb;regular
assidûment;fleißig;99;Adjective/Adverb;
avant-dernier;vorletzte;99;Adjective/Adverb;
bien sûr;selbstverständlich;99;Adjective/Adverb;
chambre d'hôtel;das Hotelzimmer;99;Noun;
collègue;der Kollege;99;Noun;
connaissances;die Kenntnisse;99;Noun;
courses (faire les ~);einkaufen gehen;99;Verb;irregular
dentiste;der Zahnarzt;99;Noun;
export;der Export;99;Noun;
faux;falsch;99;Adjective/Adverb;
finir (pour);zum Schluss;99;Fixed expression;
garage;die Werkstatt;99;Noun;
inviter à boire;auf ein Bier / Kaffee einladen;99;Verb;irregular
rendez-vous (avoir ~ avec qqn);mit jdm verabredet sein;99;Fixed expression;
réussir;schaffen;99;Verb;irregular
rouillé;eingerostet;99;Adjective/Adverb;
texte;der Text;99;Noun;
traduire (en…);auf übersetzen;99;Verb;irregular
air;die Luft;100;Noun;
air marin;die Meeresluft;100;Noun;
ambiance;die Stimmung;100;Noun;
approfondir;vertiefen;100;Verb;regular
Autriche;Österreich;100;Noun;
congé (prendre ~);Abschied nehmen;100;Fixed expression;
culture;die Kultur;100;Noun;
difficile;schwierig;100;Adjective/Adverb;
difficile (le plus);das Schwierigste;100;Noun;
diversité;die Vielfalt;100;Noun;
enchanteur;stimmungsvoll;100;Adjective/Adverb;
festival;die Festspiele;100;Noun;
frais;frisch;100;Adjective/Adverb;
jeu;das Spiel;100;Noun;
marché de Noël;der Weihnachtsmarkt;100;Noun;
mer Baltique;die Ostsee;100;Noun;
motivé;motiviert;100;Adjective/Adverb;
penser (qqch. de qqch.);etw. von etw. halten;100;Verb;irregular
réviser;wiederholen;100;Verb;regular
société;die Gesellschaft;100;Noun;
thème;das Thema;100;Noun;
travailler (continuer à);weiterarbeiten;100;Verb;irregular
